test_name,passed,duration_ms,num_steps,failed_steps,error
bad_block_remap,True,4.309,4,,
power_loss_during_write,True,4.770,7,,
sequential_write_read,True,3.905,3,,
trim_and_reclaim,True,4.222,5,,
